process,relevant,sentiment,gender,dizziness,convulsions,heart palpitations,shortness of breathe,headaches,drug effect decreased,allergies worse after taking drug,bad interaction between claritin and another drug.,nausea ,caused insomnia
claritin dayquil bout nigga lean,yes,3,female,no,no,no,no,no,no,no,no,no,no
best allergy medicine target brand claritin swear,yes,5,female,no,no,no,no,no,no,no,no,no,no
bout try extra strength claritin hope work,yes,4,male,no,no,no,no,no,no,no,no,no,no
katiemckiever heard today ragweed culprit claritin work wonder,yes,5,female,no,no,no,no,no,no,no,no,no,no
stephanienelson thanks girl claritin many year ago ended liking zyrtec better damn ragweed,yes,2,female,no,no,no,no,no,no,no,no,no,no
katiemckiever yikes gave med amp shot discovered dose claritin amp advil work pretty well p honey myth tasty,yes,4,female,no,no,no,no,no,no,no,no,no,no
sick get claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
hope claritin work,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
need zyrtec claritin something cant deal w allergy,yes,4,female,no,no,no,no,no,no,no,no,no,no
anybody wanna volunteer bring claritin though,yes,4,female,no,no,no,no,no,no,no,no,no,no
relieve skin itchiness oral antihistamine like claritin,yes,4,unknown,no,no,no,no,no,no,no,no,no,no
knoweric try nyquil claritin pa get home,yes,3,male,no,no,no,no,no,no,no,no,no,no
hoping claritin fix problem,yes,4,female,no,no,no,no,no,no,no,no,no,no
claritin work ivebeensneezingallday,yes,1,female,no,no,no,no,no,no,yes,no,no,no
brb going snort claritin allergy,yes,4,male,no,no,no,no,no,no,no,no,no,no
shawnadstroy haha pharmacy joke like claritin mucinex etc,yes,3,female,no,no,no,no,no,no,no,no,no,no
allergy going nut like take couple claritin took percocets sure take anything right,yes,4,female,no,no,no,no,no,no,no,no,no,no
sheewantsyourd nif text heyy sick want claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
shanastewart haha allergy give claritin n noahpowell,yes,4,male,no,no,no,no,no,no,no,no,no,no
davalyns ugh yes headache runny nose itchy eye much claritin whymusticry,yes,2,female,no,no,no,no,no,no,no,no,no,no
omfg told dad claritin amp said oh suck need brbdying didthisjusthappen,yes,4,female,no,no,no,no,no,no,no,no,no,no
girl sends text heyy im sick nshe want claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
nigga gotta take claritin goddamn,yes,4,unknown,no,no,no,no,no,no,no,no,no,no
ihadcancer claritin worked great countering effect neulasta halfed neulasta dose also helped,yes,4,male,no,no,no,no,no,no,no,no,no,no
ruben bought claritin today worked wonder story shoot,yes,4,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
woke still fucked smh claritin aint shit make go sleep u guess try purps smh,yes,2,male,no,no,no,no,no,no,yes,no,no,no
shanefegan alright got needle handle claritin clear case one allergy kick,yes,4,male,no,no,no,no,no,no,no,no,no,no
box claritin say non drowsy except waking hour took lol,yes,2,female,no,no,no,no,no,no,no,no,no,yes
whereeeeee claritin sinus,yes,4,female,no,no,no,no,no,no,no,no,no,no
claritin corona combo,yes,3,male,no,no,no,no,no,no,no,no,no,no
byoc bring claritin prettyboy sasha,yes,4,female,no,no,no,no,no,no,no,no,no,no
meganmellendorf allergy give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
hope claritin help,yes,4,female,no,no,no,no,no,no,no,no,no,no
claritin make sleepy take sick,yes,2,female,no,no,no,no,no,no,no,no,no,no
ilovekamilah take claritin allegra work,yes,2,female,no,no,no,no,no,no,no,no,no,no
claritin courtneylock stuffshetellsme sooofunny,yes,3,female,no,no,no,no,no,no,no,no,no,no
renee claritin strong enough allegra ok benedryl tho,yes,2,female,no,no,no,no,no,yes,no,no,no,no
damnimgood ohheykae jsavicke jeremy alex would glad give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
ilovekamilah tried claritin allegra normal stuff,yes,3,female,no,no,no,no,no,no,no,no,no,no
also could live without claritin,yes,5,female,no,no,no,no,no,no,no,no,no,no
prescription loratadine pseudoephedrine want claritin wow,yes,4,male,no,no,no,no,no,no,no,yes,no,no
sick give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
jsavicke damnimgood ohheykae sunny claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
chris giacalone prescription loratadine pseudoephedrine want claritin wow erikaculotta lmao,yes,4,female,no,no,no,no,no,no,no,no,no,no
take claritin nasty yuck,yes,2,female,no,no,no,no,no,no,no,no,no,no
conorshanosky one word claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
thank goodness claritin allergy,yes,4,female,no,no,no,no,no,no,no,no,no,no
haileerush thank much clear yes claritin mademyday told earlier haha,yes,4,female,no,no,no,no,no,no,no,no,no,no
sad look good joe biden poor ryan could ad claritin right,yes,3,female,no,no,no,no,no,no,no,no,no,no
someone get ryan claritin vpdebate,yes,3,female,no,no,no,no,no,no,no,no,no,no
need claritin right,yes,3,male,no,no,no,no,no,no,no,no,no,no
tell ur bro rest drink lot water take claritin tylenol cold sinus hope feel better,yes,4,female,no,no,no,no,no,no,no,no,no,no
temptingtay zyrtec cause little drowsiness nap may get little outta hand go claritin loratadine,yes,4,male,no,no,no,no,no,no,no,no,no,no
need claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
paul ryan sound like claritin commercial vpdebate,yes,4,female,no,no,no,no,no,no,no,no,no,no
choice clear choice need claritin clear eye drop debate paulryan,yes,4,female,no,no,no,no,no,no,no,no,no,no
glad took claritin coffee,yes,4,female,no,no,no,no,no,no,no,no,no,no
paul ryan choice clear claritin clear vpdebate,yes,4,female,no,no,no,no,no,no,no,no,no,no
choice clear congressman ryan spokeman claritin allergy medicine debate,yes,3,female,no,no,no,no,no,no,no,no,no,no
temptingtay claritin get generic though called loratadine work great,yes,4,male,no,no,no,no,no,no,no,no,no,no
laloveit yeah grabbed claritin helping think may newcastle,yes,4,male,no,no,no,no,no,no,no,no,no,no
sick give claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
mike ali laloveit long claritin counter balanced ok sacrifice made,yes,4,male,no,no,no,no,no,no,no,no,no,no
kbekah cassie mccarthy called claritin dad allergic im still buying cat move suckstosuck greatduaghter,yes,4,female,no,no,no,no,no,no,no,no,no,no
pretty sure took non drowsy claritin imafuckingidiot,yes,3,female,no,no,no,no,no,no,no,no,no,no
pastortyj claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
feel bad jeff corwin claritin commercial,yes,3,male,no,no,no,no,no,no,no,no,no,no
lady jazmone claritin zyrtec,yes,3,female,no,no,no,no,no,no,no,no,no,no
claritin save life ineedmore,yes,5,male,no,no,no,no,no,no,no,no,no,no
wine candy corn claritin ibuprofen hope ok tomorrow,yes,3,female,no,no,no,no,no,no,no,no,no,no
damn take dayquil claritin wideawake,yes,2,male,no,no,no,no,no,no,no,yes,no,yes
need vicks pain med claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
cop drug car n caitlin handley umm claritin officer drug n faceinpalmmoment,yes,2,male,no,no,no,no,no,no,no,no,no,no
supanovaesq use claritin mucinex dm,yes,4,female,no,no,no,no,no,no,no,no,no,no
djepicone hear ya feeling week think finally built immunity claritin,yes,2,male,no,no,no,no,no,no,no,no,no,no
whoaitsjenny something like claritin benadryl would help cough medicine feel better,yes,4,male,no,no,no,no,no,no,no,no,no,no
random boy met tonight gave claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
want claritin,yes,4,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
countryahhjo yu need claritin nd nyquil bag,yes,3,female,no,no,no,no,no,no,no,no,no,no
shedreamsthed sneeze give claritin tmonson,yes,4,male,no,no,no,no,no,no,no,no,no,no
countrybeauty countryahhjo yu need claritin nd nyquil bag zzzzzzquil,yes,4,female,no,no,no,no,no,no,no,no,no,no
countryahhjo countrybeauty countryahhjo yu need claritin nd nyquil bag zzzzzzquil hydrocodone,yes,3,female,no,no,no,no,no,no,no,no,no,no
girl text say sick want claritin lml,yes,4,male,no,no,no,no,no,no,no,no,no,no
shewanttsthed girl text u say sick want claritin haha,yes,3,male,no,no,no,no,no,no,no,no,no,no
claritin work shiit pieceofshitmeds,yes,1,female,no,no,no,no,no,no,yes,no,no,no
sick give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
dleelovesnippy redpoison claritin time year always bad,yes,3,female,no,no,no,no,no,no,no,no,no,no
nbl wh dleelovesnippy oh yes mix claritin cocktail lol,yes,2,female,no,no,no,no,no,no,no,no,no,no
claritin said fuck yo sleep drew,yes,2,unknown,no,no,no,no,no,no,no,no,no,yes
mucenex claritin amp amp thera flu dnt make movie somebody wake,yes,3,female,no,no,no,no,no,no,no,no,no,no
need claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
ordine claritin francia ordine claritin mg europa acquistare claritin farmacia acquistare lorata,non_english,,,,,,,,,,,,
amyrh mollynaugher try claritin stick awhile work better daily allergy often bloom cold,yes,4,female,no,no,no,no,no,no,no,no,no,no
girlfriend always get claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
michaellane hahahahhaaha buti nga p haha ang gastos ng dinner nyo may desert pang claritin haha carmi martin yan nang iingit kasi kyo,non_english,,,,,,,,,,,,
took claritin zyrtec determined let allergy become cold get three day,yes,4,female,no,no,no,no,no,no,no,no,no,no
sleep damn allergy need claritin,yes,2,female,no,no,no,no,no,no,no,no,no,no
yelloworigami yes lol round claritin mucinex amp sudafed everyone friday round,yes,4,unknown,no,no,no,no,no,no,no,no,no,no
claritin rescue dunkin donut boston kreme,yes,4,female,no,no,no,no,no,no,no,no,no,no
bout pop claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
pill poppin animal claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
hot posted cv ad preview coupon match ups claritin candy,no,,,,,,,,,,,,
epicfail known warondrugs stop buying claritin sudafed time walmart feardept usaisscared,yes,2,unknown,no,no,no,no,no,no,no,no,no,no
stopped sneezing since woke wired claritin non drowsy shit yet unmotivated,yes,2,female,no,no,no,no,no,no,no,no,no,no
think claritin make lose appetite literally never hungry,yes,2,female,no,no,no,no,no,no,no,no,no,no
truthfully feel like im claritin bc allergy shot,yes,2,female,no,no,no,no,no,no,yes,no,no,no
feel like one allergy commercial make claritin clear see anything,yes,3,female,no,no,no,no,no,no,no,no,no,no
shecravesthed feeling allergic give claritin baystobart,yes,3,male,no,no,no,no,no,no,no,no,no,no
necessary fill page information allergy gimme free claritin lemme gone,yes,3,male,no,no,no,no,no,no,no,no,no,no
haydenaudra taking claritin bed every night always wake sneezing stuff say hour,yes,2,female,no,no,no,no,no,no,no,no,no,no
zyrtec gt claritin allergiesyo,yes,3,female,no,no,no,no,no,no,no,no,no,no
entrega del acorde n claritin la votamos gracias mi dios,non_english,,,,,,,,,,,,
kristineband claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
kaloka napangas ng puppy ang tab ng claritin ko haaayyy di tuloy ako makatulog baka magkaproblema,non_english,,,,,,,,,,,,
od claritin around bo,yes,3,female,no,no,no,no,no,no,no,no,no,no
glad claritin worked quickly allergy bad today,yes,4,unknown,no,no,no,no,no,no,no,no,no,no
thank god claritin,yes,5,male,no,no,no,no,no,no,no,no,no,no
dog itching past minute someone bring bitch claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
claritin buzz,yes,3,male,no,no,no,no,no,no,no,no,no,no
dear sinus gave claritin quit full pressure cheek swollen hurt xoxo k,yes,2,female,no,no,no,no,no,no,no,no,no,no
claritin clear really clear boom,yes,3,male,no,no,no,no,no,no,no,no,no,no
need claritin allergyseason runnynose,yes,3,female,no,no,no,no,no,no,no,no,no,no
taken claritin reason feel sooo blah half high lol,yes,1,female,no,no,no,no,no,no,no,no,no,no
really dislike feeling get drink claritin damn allergy,yes,2,female,no,no,no,no,no,no,no,no,no,no
claritin kicked least breathe,yes,4,female,no,no,no,no,no,no,no,no,no,no
azzcaroline mom claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
got claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
claritin life changing running meadow,yes,5,female,no,no,no,no,no,no,no,no,no,no
harryshannon claritin work best,yes,4,female,no,no,no,no,no,no,no,no,no,no
allergy starting act smh popping another claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
walking walgreens get sick claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
whorejason sedrftyhgfdsdf umm benedryl claritin ummm idk anything else,yes,3,male,no,no,no,no,no,no,no,no,no,no
thank claritin,yes,5,male,no,no,no,no,no,no,no,no,no,no
whoresoohyun claritin take,yes,3,male,no,no,no,no,no,no,no,no,no,no
anyone want claritin never taking stuff dizzy wish knew stuff college,yes,2,male,yes,no,no,no,no,no,no,no,no,no
gonna die work today claritin never kicked n nose gettin raw ugh good part get see sam tonight,yes,2,female,no,no,no,no,no,no,yes,no,no,no
haiku nthrough office window nsnowflakes swim past red flecked leaf ngoodbye claritin,yes,5,male,no,no,no,no,no,no,no,no,no,no
allergy give claritin cortese w azleyf ababay chase ragsdale,yes,4,male,no,no,no,no,no,no,no,no,no,no
need cough drop good maybe even claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
note self claritin work,yes,1,male,no,no,no,no,no,no,yes,no,no,no
self take claritin even day think need sneezingfordays,yes,5,female,no,no,no,no,no,no,no,no,no,no
nigga want dat claritin son,yes,4,male,no,no,no,no,no,no,no,no,no,no
captainstabbns depends causing sinus congestion pseudofed take sinus drainage claritin similar,yes,3,male,no,no,no,no,no,no,no,no,no,no
allergy give claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
mikangela ficocamp take claritin coming,yes,3,female,no,no,no,no,no,no,no,no,no,no
headache go away claritin working today,yes,2,female,no,no,no,no,no,yes,no,no,no,no
get better already room stop spinning day claritin start right hate vertigo,yes,3,female,yes,no,no,no,no,no,no,no,no,no
sneezing every five minute even hold driving finally took claritin shit work man,yes,5,female,no,no,no,no,no,no,no,no,no,no
going antibiotic flonase claritin mucinex sinusinfectionpleasegoaway,yes,4,female,no,no,no,no,no,no,no,no,no,no
tdrayton hey u lying bout claritin gotta best allergy med,yes,5,male,no,no,no,no,no,no,no,no,no,no
twitter would successful stopped much claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
kate mucinex dm extra strength claritin hour thing keeping going,yes,4,male,no,no,no,no,no,no,no,no,no,no
someone please give donovan mcnabb nasal decongestant sudafed claritin cocaine nfl,yes,4,male,no,no,no,no,no,no,no,no,no,no
claritin hate taking med afford get sick much busy body,yes,4,female,no,no,no,no,no,no,no,no,no,no
feel sniffle coming sniff going need claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
lmao n mz naenae ushudmentionmee rt shedreamsthed sneeze give claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
tcris x fall really need claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
two thing tonight djclay show mar kungfuvampire sold pay claritin pill allergy,yes,4,male,no,no,no,no,no,no,no,no,no,no
claritin gave week work amp congested could hear breathing across room breath gotten progressively,yes,2,female,no,no,no,no,no,no,no,no,no,no
saberspark pop claritin tough,yes,4,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
took claritin cold amp flu dayquil amp codeine pill incase die behind dj booth tonight know saveme,yes,3,male,no,no,no,no,no,no,no,yes,no,no
sick waking think might take claritin solve problem tonight,yes,4,female,no,no,no,no,no,no,no,no,no,no
need claritin clear shit bogus,yes,3,female,no,no,no,no,no,no,no,no,no,no
false rumor wonder get big flat beer national ballpark claritin,yes,4,unknown,no,no,no,no,no,no,no,no,no,no
feeling incredible man wish could explain shit real life felt like claritin commercial,yes,5,unknown,no,no,no,no,no,no,no,no,no,no
garciahector lmfaooo bro wanted claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
rawcg garciahector lmfaooo bro wanted claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
c arasays claritin,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
student health told violent cough cleared nasal spray claritin tf,yes,4,female,no,no,no,no,no,no,no,no,no,no
oneclassychic claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
fuck yall muhfuggas didnt remind take claritin,yes,2,male,no,no,no,no,no,no,no,no,no,no
jasmeen claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
algu aqui toma claritin da mto sono mesmo,non_english,,,,,,,,,,,,
carloslz claritin menos sono que polaramine,non_english,,,,,,,,,,,,
sweater claritin ick,yes,3,male,no,no,no,no,no,no,no,no,no,no
headache give claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
im sick need claritin know mean lmao,yes,4,female,no,no,no,no,no,no,no,no,no,no
pumpkin patch adventure tomorrow excited sleep hayride year better take claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
back normal na mata ko lol thanks claritin tobramycin,yes,4,male,no,no,no,no,no,no,no,no,no,no
claritin loradine nyquil system fuck allergy,yes,4,female,no,no,no,no,no,no,no,no,no,no
mrslickninja claritin lol,yes,4,male,no,no,no,no,no,no,no,no,no,no
claritin ftw rt amandaaadavila ugh damn allergy annoying,yes,3,male,no,no,no,no,no,no,no,no,no,no
hope claritin take care goodnight everyone fun story telling night boy,yes,3,female,no,no,no,no,no,no,no,no,no,no
guess ill figure overdose line claritin tonight,yes,2,male,no,no,no,no,no,no,no,no,no,no
claritin say hr hr second,yes,3,female,no,no,no,no,no,no,no,no,no,no
polleckkk dont work hospital get free sample claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
jembalouga sure pero alam ko allergy claritin ang gamot pero confirm mo sa pharmacist haha,non_english,,,,,,,,,,,,
girl text sick want claritin lol,yes,3,female,no,no,no,no,no,no,no,no,no,no
taking claritin prove allergy cuz robitussin,yes,3,female,no,no,no,no,no,no,no,no,no,no
sylveeuhrn yep dex pack flonase omnicef adding claritin guaifenisin nsaid tried fiorinal caffeine kept day insomniac,yes,3,female,no,no,no,no,no,no,no,no,no,yes
father really gave worst candy coughdrop like since claritin start making nasty shit,yes,2,female,no,no,no,no,no,no,no,no,no,no
andsarah taking claritin long time ear sinus problem stopped occurred might withdrawal,yes,4,female,no,no,no,no,no,no,no,no,no,no
crayed hindi ba claritin un ung maliit,non_english,,,,,,,,,,,,
feel like need claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
oo slept great head feel full take claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
thx rec drug user go jazzercise massive headache bc pharm open sign contraban claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
blasianeyecandy benedryl claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
claritin better help congestion fuckk man,yes,3,male,no,no,no,no,no,no,no,no,no,no
cold medicine made taste color hear flavor yikes claritin ihatebeingsick ugh,yes,3,female,no,no,no,no,no,no,no,no,no,no
le hr taken claritin musinex benedryll nyquil notplayingnorolls,yes,3,female,no,no,no,no,no,no,no,no,no,no
acoustikmind take every kind counter med dayquil claritin tylenol multi symptom plus prescribed rhinocort,yes,3,female,no,no,no,no,no,no,no,no,no,no
extremely tired taken tht claritin,yes,2,female,no,no,no,no,no,no,no,no,no,no
soo allergic claritin cool,yes,2,female,no,no,no,no,no,no,no,no,no,no
allergy medication blog claritin allergy medication work,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
claritin mg compressa mg claritin farmacia loratadine,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
trying alegra day change allergy med far eye still itch claritin may remain king,yes,4,male,no,no,no,no,no,no,no,no,no,no
gia mariaa claritin mucinex,yes,3,male,no,no,no,no,no,no,no,no,no,no
smitty take claritin n suedofed lol,yes,4,male,no,no,no,no,no,no,no,no,no,no
starting day claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
iinrizkya minum obat apa aku biasanya claritin,non_english,,,,,,,,,,,,
need take claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
raw juice occillococcinum claritin mucinex vitamin c whatever take,yes,4,male,no,no,no,no,no,no,no,no,no,no
took unmarked claritin hoping non drowsy trouble fingerscrossed,yes,3,female,no,no,no,no,no,no,no,no,no,no
rt shu man middle finger allergy took claritin smh,yes,4,female,no,no,no,no,no,no,no,no,no,no
celestamine mb rt zput iinrizkya minum obat apa aku biasanya claritin,non_english,,,,,,,,,,,,
claritin stand dick,yes,2,male,no,no,no,no,no,no,no,no,no,no
compra comprimido citrato de claritin b compra comprimido citrato de claritin b claritin,non_english,,,,,,,,,,,,
nicole claritin conversation infosocial reminds subway community,yes,3,female,no,no,no,no,no,no,no,no,no,no
claritin sleep death like feeling leg pain thank twitter giving outlet,yes,3,female,no,no,no,no,no,no,no,no,no,no
claritin curious conversation differ user amp brand managed page brand amp user managed site brand infosocial,yes,3,female,no,no,no,no,no,no,no,no,no,no
claritin vitamin c feel like gettin sick ohno,yes,4,female,no,no,no,no,no,no,no,no,no,no
took benadryl claritin advair morning take much allergy medication,yes,3,female,no,no,no,no,no,no,no,no,no,no
going get claritin hurrrrr allergy,yes,4,female,no,no,no,no,no,no,no,no,no,no
needa go take claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
sick give claritin,yes,4,unknown,no,no,no,no,no,no,no,no,no,no
must claritin waste hawkeyes firstdown,yes,4,female,no,no,no,no,no,no,no,no,no,no
mom well got claritin show license think kid make crack nme mom allergy medicine,yes,3,female,no,no,no,no,no,no,no,no,no,no
rejected trying buy claritin apparently limit drug week ummmm,yes,2,female,no,no,no,no,no,no,no,no,no,no
enough herb amp claritin allergy,yes,2,unknown,no,no,no,no,no,no,no,no,no,no
touchdownbruno get bad take claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
allergy started claritin snot free soon rt udontknomyname good ol congested hartsfield,yes,4,unknown,no,no,no,no,no,no,no,no,no,no
rt hartsfieldatl allergy started claritin snot free soon rt udontknomyname good ol congested hartsfield,yes,4,female,no,no,no,no,no,no,no,no,no,no
claritin coupon,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
sell body claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
anyone else find hour claritin wear well supposed take another dose,yes,2,female,no,no,no,no,no,yes,no,no,no,no
headed corpus wheeze blow snot brewster street shall celebrate birthday midnight claritin cheer,yes,4,male,no,no,no,no,no,no,no,no,no,no
alright gab doll employee tomorrow lunch sound good cool roseveee claritin clear,yes,3,male,no,no,no,no,no,no,no,no,no,no
busolabiran aa aaa aaaa aaashhhhewww u claritin p,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
realmryoung take claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
anyone claritin desperate,yes,3,female,no,no,no,no,no,no,no,no,no,no
advil claritin ghb dammit,yes,3,female,no,no,no,no,no,no,no,no,no,no
claritin life saver tonight,yes,5,female,no,no,no,no,no,no,no,no,no,no
herbalessence claritin mucinex,yes,3,male,no,no,no,no,no,no,no,no,no,no
became claritin clear,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
ok scotland morning germany fun still sick fairly certain allergy yay claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
rockstarwalrus ok btw pharmacist say interaction claritin allegra take together,yes,4,unknown,no,no,no,no,no,no,no,no,no,no
suddon world claritin clear,yes,4,male,no,no,no,no,no,no,no,no,no,no
touchdown jim canevin claritin,yes,2,male,no,no,no,no,no,no,no,no,no,no
claritin claritin danks,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
claritin catch fire nice lasted,yes,2,male,no,no,no,no,no,no,no,no,no,no
frightenshop ever think using claritin work without getting sleepy,yes,4,unknown,no,no,no,no,no,no,no,no,no,no
someone get ron darling nasonex claritin alcs,yes,4,male,no,no,no,no,no,no,no,no,no,no
sick give claritin yesshewantsthed,yes,3,female,no,no,no,no,no,no,no,no,no,no
sick give claritin sheswantsthed,yes,4,female,no,no,no,no,no,no,no,no,no,no
heyitsmika wala pero pwede daw yata claritin,non_english,,,,,,,,,,,,
still feeling icky need claritin something,yes,4,female,no,no,no,no,no,no,no,no,no,no
trying generic claritin dollar compared,yes,3,male,no,no,no,no,no,no,no,no,no,no
advil claritin perscription stuff,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
ell ry medicine call claritin ima let one simmer mind awhile,yes,3,female,no,no,no,no,no,no,no,no,no,no
sigue en tu swin yo estoy claritin chillin,non_english,,,,,,,,,,,,
girl sick probably want claritin gt c,yes,4,female,no,no,no,no,no,no,no,no,no,no
shit always hit fan take mucinex advil amp claritin drink always,yes,2,female,no,no,no,no,no,no,no,yes,no,no
claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
love claritin clear commercial inspiring,yes,5,female,no,no,no,no,no,no,no,no,no,no
live clear live claritin clear gogogators,yes,4,male,no,no,no,no,no,no,no,no,no,no
claritin save day yet hive begone,yes,5,female,no,no,no,no,no,no,no,no,no,no
drunk ask claritin kmt ish cleaning house get also firmly believe staff scsquared,yes,3,female,no,no,no,no,no,no,no,no,no,no
claritin work well visiting house three dog pounce night,yes,2,unknown,no,no,no,no,no,no,yes,no,no,no
claritin alka seltzer cold goody powder atthesamedamntime lol something got work ugghhhh,yes,3,female,no,no,no,no,no,no,no,no,no,no
dukelife claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
baileydyoung claritin swag,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
suknives claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
really wish claritin would kick,yes,2,male,no,no,no,no,no,no,no,no,no,no
allergy kicking tonight feel like snotty kid guess get forgetting take claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
omg lol rt sincerely holly lmao rt ihateyoojody popped claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
girl got bad allergy better give claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
claritin pseudophedrine preventing feeling much anything including hay fever since,yes,4,female,no,no,no,no,no,no,no,no,no,no
engeee rt juicybear pig day redefined ubos na claritin ko sa sandamakmak na seafood burp nomnom busog dampa macapagal,non_english,,,,,,,,,,,,
shecravesthed feeling allergic give claritin alayna brooke,yes,4,female,no,no,no,no,no,no,no,no,no,no
dcrude ay huo cge ka atching inum claritin damo tubig,non_english,,,,,,,,,,,,
krenzus mag claritin haha,yes,3,female,no,no,no,no,no,no,no,no,no,no
trinicapini hope think allergy related also child claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
stupid claritin clear commercial fuck eyesight,yes,2,female,no,no,no,no,no,no,no,no,no,no
need claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
kaufen pille loratadine mg anhalt kaufen pille loratadine mg anhalt claritin,non_english,,,,,,,,,,,,
gdoronzo babe need claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
idiosyncasey singulair drove insane thank much take claritin today pa,yes,4,female,no,no,no,no,no,no,no,no,no,no
must buy claritin asap,yes,4,male,no,no,no,no,no,no,no,no,no,no
deffo allergic tingle cream leg back belly though arm chest amp face need buy claritin amp chamomile lotion,yes,4,female,no,no,no,no,no,no,no,no,no,no
feeling sick give claritin sheswantsthed bmusgrave,yes,4,male,no,no,no,no,no,no,no,no,no,no
yeah totally want claritin allergy season,yes,4,female,no,no,no,no,no,no,no,no,no,no
wanna claritin clear dammit,yes,3,male,no,no,no,no,no,no,no,no,no,no
guess mean need claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
ooh shit gotta take claritin nose dumb stuffed,yes,4,male,no,no,no,no,no,no,no,no,no,no
claritin please work,yes,4,male,no,no,no,no,no,no,no,no,no,no
struggling allergy morning changing season always kill claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
mearahgonzales claritin na yan,non_english,,,,,,,,,,,,
allergy stupid breaking benadryl claritin amp nyquil,yes,4,female,no,no,no,no,no,no,no,no,no,no
claritin working,yes,2,female,no,no,no,no,no,yes,no,no,no,no
jkvblue claritin cabinet help took one anyway maybe going walgreens today,yes,2,female,no,no,no,no,no,no,yes,no,no,no
